val_slide,classes,seed,lr,best_epoch,epochs_run,model,tumor_iou,tumor_dice,stroma_hormonal_iou,stroma_hormonal_dice,stroma_matrix_iou,stroma_matrix_dice
ovary2_he,tumor+stroma_hormonal+stroma_matrix,42,0.0003,7,22,outputs/models/seg3_val_ov2.pth,0.8327,0.9087,0.3264,0.4921,0.0219,0.0429
ovary_prime_he,tumor+stroma_hormonal+stroma_matrix,42,0.0003,3,18,outputs/models/seg3_val_prime.pth,0.8529,0.9206,0.2496,0.3994,0.2549,0.4063
