val_slide,select,seed,epochs_run,tumor_iou,tumor_dice,stroma_iou,stroma_dice,model
ovary_prime_he,fixed,42,40,0.4779,0.6467,0.465,0.6349,outputs/models/seg_fixed_ovary_prime_he.pth
ovary2_he,fixed,42,40,0.5791,0.7335,0.4223,0.5938,outputs/models/seg_fixed_ovary2_he.pth
ovary3_he,fixed,42,40,0.3654,0.5352,0.0448,0.0858,outputs/models/seg_fixed_ovary3_he.pth
ovary_prime_he,val,42,11,0.6435,0.7831,0.5406,0.7018,outputs/models/seg_val_ovary_prime_he.pth
ovary2_he,val,42,16,0.6818,0.8108,0.5474,0.7075,outputs/models/seg_val_ovary2_he.pth
ovary3_he,val,42,15,0.4366,0.6078,0.0261,0.0508,outputs/models/seg_val_ovary3_he.pth
